region_code,share_count,hashtag_names,like_count,username,video_description,view_count,comment_count,id
US,0,"['tracychapman', 'mileycyrus', 'michaeljackson', 'willsmith', 'willowsmith', 'janetjackson', 'gwenstefani', 'lionelrichie', 'hankwilliamsjr', 'jerryreed', 'blakeshelton', 'bonjovi', 'dianaross', 'melissaetheridge', 'prince', 'tomhanks', 'rebamcentire', 'god', 'barbie', 'jeffreestar', 'ford', 'cher', 'thejudds', 'parishilton', 'world', 'police', 'obama', 'walmart', 'loveyourself', 'maverick', 'paulaabdul', 'eddiemurphy', 'usmc', 'barbs', 'netflix', 'beyourself', 'trump', 'hospital', 'dollar', 'thevoice', 'kathy', 'crossroads', 'domino', 'mcdonald', 'kardashians', 'theview', 'janefonda', 'melissa', 'topgun', 'tmz', 'garthbrooks', 'unitedstates', 'autism', 'airforce', 'jadensmith', 'footloose', 'tomcruise', 'tarynmanning', 'kuwtk', 'goarmy', 'judgejudy', 'oprah', 'shop', 'ebay', 'uggs', 'miamivice', 'michelleobama', 'setfree', 'jeopardy', 'kevinbacon', 'pitstop', 'drphil', 'wheeloffortune', 'chopstix', 'autismawareness', 'dairyqueen', 'nicolekidman', 'dollartree', 'agt', 'nathanchan', 'kiethurban', 'littlecaesarspizza', 'rpd', 'brucewillis', 'airforceone', 'familydollar', 'dyslexia', 'sylvesterstallone', 'rosieo', 'jerryspringer', 'latoyajackson', 'kentuckyfriedchicken', 'missoula', 'workingirl', 'themaninblack', 'stevewilkos', 'missoulamontana', 'thesimplelife', 'carolburnett', 'nicolerichie', 'juliaroberts', 'dogfrenzy', 'unitedstatesofamerica', 'demimoore', 'graceandfrankie', 'priceisright', '60minutes', 'parisjackson', 'bonnierait', 'letsgivethemsomethingtotalkabout', 'dakotajohnson', 'paulnewman', 'lilytomlin', 'lisarinna', 'donjohnson', 'kathieleegifford', 'ritamoreno', 'tynedaly', 'murdochs', 'jennyjones', 'sallyfield', 'timconway', 'robertredford', 'tiktokviral', 'mamatot', 'nancygrace', '🌹🙂', 'paulharvey', 'autismmoms', 'maurey', 'riptorn', 'wynonajudd', 'billieraycyrus', 'naomijudd', 'jodifoster', 'anneheche', 'rivertonwyoming', 'tombrokaw', 'loretalynn', 'unitedstatespostoffice', 'melaniegriffith', 'guidedogsofamerica', 'cagneyandlacey', 'sharongless', 'presidentbiden', 'garymarshall', 'rumorwillis', 'annettebenning', 'gerardoperez', 'kathyhilton', 'setfreechurch', 'postalcarriers', 'seniorcitizenscenter', 'shermanwillians', 'sagecresthospital', 'arnoldschwartzenegar', 'anjolinapit', 'shilopit', 'kierasedwick', 'tippiehedrum', 'thechosenone55et']",12,diamonjohnson2,"Thank you Jeffree Star and Barbs I love you guys so much #autismawareness, #autism, #AutismMoms #Dyslexia #RosieO’Donnell #Kathy,Griffith, #LisaRinna, #RPD #MileyCyrus#BillieRayCyrus #RivertonWyoming#UnitedStatesOfAmerica #UnitedStates #PostalCarriers #UnitedStatesPostOffice #GoArmy #USMC #AirForce #AirForceOne #Missoula, #MissoulaMontana  #McDonald’s #Murdochs #PitStop #LittleCaesarsPizza #Domino’sPizza #Murdochs #Chopstix #KentuckyFriedChicken#Ford #Walmart #FamilyDollar #Dollar Store #FamilyDollar #DollarTree #ShermanWillians #DairyQueen #ParisHilton #LionelRichie #NicoleRichie #Kardashians  #Kardashians#KUWTK #BlakeShelton #TracyChapman #MichaelJackson #JanetJackson #LatoyaJackson #JaneFonda #LilyTomlin  #🌹🙂#GraceandFrankie #Netflix  #PriceisRight #Jeopardy#SteveWilkos #DrPhil #JerrySpringer#Oprah#Theview ##JennyJones #Riptorn#Timconway  #JerryReed #hankwilliamsjr #Kiethurban #NicoleKidman#Tomcruise #Maverick #Topgun #Barbie #Thesimplelife#Crossroads#TarynManning #AnjolinaPit#shilopit #melissaetheridge#Bonnierait#letsgivethemsomethingtotalkabout,#GwenStefani #RebaMcEntire #TheVoice #AGT #TMZ #JodiFoster #AnnetteBenning #SetFree#SetFreeChurch #SeniorCitizensCenter riverton. #AirForceOne #UGGs #eBay #Shop #NicoleRichie #KathyHilton #KathieLeeGifford #Obama, #MichelleObama, #Trump #PresidentBiden #Police #Hospital #SageCrestHospital #World #God #LoveYourself #BeYourself##DogFrenzy #TikTokViral #Melissa #Mamatot#JeffreeStar #BARBS#TheChosenOne55et#paulaabdul#ParisJackson#Prince #CagneyandLacey#SharonGless#TyneDaly#JuliaRoberts#GaryMarshall #TomHanks #RitaMoreno #CarolBurnett #Cher#Bonjovi #Footloose#KevinBacon #Kierasedwick #brucewillis #demimoore #rumorwillis  #robertredford#paulnewman  #GuideDogsofAmerica#nancygrace #maurey#judgejudy #wheeloffortune#60minutes #tombrokaw  #paulharvey#nathanchan  #gerardoperez #tiktokviral #thejudds #naomijudd#wynonajudd  #sallyfield  #anneheche  #garthbrooks #dianaross #dakotaJohnson #miamivice #donjohnson #workingirl #melaniegriffith #tippiehedrum  #loretalynn #themaninblack #willowsmith #willsmith #jadensmith #eddiemurphy #sylvesterstallone  #arnoldschwartzenegar @Jeffree Star ",104,2,7363008460662836522
US,0,['dyslexia'],39,buttterbean,Have you ever had a friend or family member with dyslexia? #dyslexia ,419,3,7362997366909111598
US,1,"['reading', 'learning', 'tool', 'spelling', 'blending', 'bestthingever', 'fyp', 'kindergarten', 'dyslexic', 'firstgrade', 'elementaryschool', 'dyslexia', 'adhdkids', 'soundingout', 'learningtool', 'blendingsounds', 'tikrokshop']",28,stay_salty_2290,#adhdkids #kindergarten #firstgrade #elementaryschool #learning #tool #learningtool #soundingout #reading #spelling #blending #blendingsounds #fyp #tikrokshop #bestthingever #dyslexia #dyslexic ,1321,0,7362977274011913515
US,0,"['emotional', 'anxiety', 'trauma', 'viralvideo', 'fyp', 'mentalhealth', 'dontletthisflop', 'myjourney', 'dyslexia', 'publicschool', 'tellingmystory', 'schooltrauma', 'anxietysquad', 'dyslexiaawareness', 'tiktoker', 'wannachangetheworld', 'teachersoftiktok', 'wanttosavethemall', 'learningdifferences', 'healingjourney', 'schoolsystemfails', 'fypシ゚viral', 'traumatok', 'dyslexiatiktok', 'concentcreatortiktok']",58,icarlie.w,"I feel like this sound really shows how I feel about wanting to help these kids that don’t have a voice yet. When I was in public school, I didn’t understand why it was being treated this way as an adult so much trauma of these teachers to me. And I want to help all these kids because they are so smart. They just need to find a different way to be taught. I believe in these students more than they will ever understand because I was in their place at one point and it doesn’t feel good to not understand what’s going on as a child. #emotional #trauma #tiktoker #teachersoftiktok #healingjourney #schooltrauma #tellingmystory #publicschool #anxietysquad #dyslexia #dyslexiaawareness #dyslexiatiktok #fyp #viralvideo #dontletthisflop #mentalhealth #traumatok #anxiety #fypシ゚viral #concentcreatortiktok #wannachangetheworld #schoolsystemfails #learningdifferences #wanttosavethemall #tiktoker #healingjourney #myjourney  ",557,1,7362961690645826858
US,0,"['adhd', 'dyslexia', 'learningdisability']",1,stowellcenter,"Tutoring is the solution to a short-term problem. If we want a long-term solution, then we have to identify and develop the underlying skills that are getting in the way that are causing the roadblocks to learning in the first place. ➡️ StowellCenter.com #dyslexia #adhd #learningdisability",255,0,7362910239747820842
US,520,"['dyslexic', 'dyslexia', 'tipofmytongue', 'dyslexiaawareness', 'dyslexiastruggles', 'wordretrieval']",5319,drjacobsanthouse,The amount of creative alternative words that come from this is also very impressive. #dyslexia #dyslexic #dyslexiaawareness #dyslexiastruggles #tipofmytongue #wordretrieval ,62370,149,7362906275925085482
US,1,"['monkeyface', 'fyp', 'autismawareness', 'dyslexia', 'adhdinwomen']",62,cinnamonxuz,she learned the choreo for this 💀 average 4am activties @dearluvumi  . . . . . . #autismawareness #monkeyface #adhdinwomen #fyp #dyslexia ,468,6,7362833349775232299
US,0,"['mlg', 'eclipse', '360', 'r6', 'mw2', 'outback', 'fazeclan', 'dyslexia', 'r6meme', 'greenfn']",14,tassive_mits_lover,Im him#dyslexia #dyslexia #dyslexia #360 #MW2 #r6 #r6meme #outback #greenfn #mlg #greenfn #fazeclan #eclipse ,369,3,7362749000568671530
US,0,"['hope', 'specialed', 'sayiwont', 'dosomething', 'vets', 'duet', 'parenting', 'trump', 'trauma', 'jfk', 'lgbtq', 'sel', 'education', 'godknows', 'allin', 'welcomehome', 'suicideawareness', 'idea', 'poverty', 'mourning', 'speech', 'regan', 'ada', 'grief', 'suicideprevention', 'autismawareness', 'waitandsee', 'justintime', 'welfare', 'leastofthese', 'specialneeds', 'prolife', 'timeisnow', 'iamwoman', 'advocate', 'thehelp', 'greenscreen', 'prochoice', 'gracewins', 'noplaceforhate', 'mentalhealthmatters', 'lgbtqia', 'icandoallthings', 'gloriousunfolding', 'seesomethingsaysomething', 'specialeducation', 'disabilityawareness', 'endthestigma', 'benotafraid', 'ourturn', 'endtherword', 'lighthouses', 'montour', 'setthetable', 'thywillbedone', 'invisibledisability', 'dreamsmall', 'prokids', 'emotionalsupport', 'homelessyouth', 'grovecitycollege', 'fape', 'specialneedsmom', '988', 'westwing', 'burntheships', 'sisterjoan', 'fostertoadopt', 'lgbtqiia', 'neurodiverse', 'lre', 'libertyandjusticeforall', 'publiceducation', '504', 'traumahealing', 'behavioralhealth', '504🇭🇳', 'womenandchildren', 'gentleparenting', 'intellectualdisabilities', 'dyslexiasquad', 'nuerodivergent', 'fostercareawareness', 'truthalwaysprevails', 'disabilityrightsarecivilrights', 'publiced', 'speechandlanguage', 'atriskyouth', 'griefandloss', 'autistictiktok', 'traumainformed', 'fostercarestories', 'publiceducationmatters', 'allglorybetogod', 'moonarea', 'peopleoverprofits', 'adoptiontrauma', 'forsuchatimeasthis', 'separatechurchandstate', 'behaviormanagement', 'traumatok', 'medicaremedicaid', 'twiceexceptional', 'civilrightsviolations', 'socialandemotional', 'prolifevsprochoice', 'mentalhealthaction', 'presumecompetence', 'compassionatecare', 'dyslexiatiktok', 'mentalhealthinschools', 'mentalhealthtiktoks', 'compassionateparenting', 'believeforit', 'nuerodivergenttok', 'equalnotless', 'fostertrauma', 'griefandlossjourney', 'southsidearea', 'traumahealingishard', 'kidsoftrauma', 'bartletforpresident', 'preparehimroom', 'invisibledisabilitieswarrior', 'eachofusneedsallofus', 'stockdaleparadox', 'addictionisamentalhealthproblem', 'preparethemroom', 'propubliceducation', 'presumedcompetence', 'inclusionchangeslives', 'fostercareistrauma', 'ourturnfostercare', 'invisibledisabilitiescanbeterminal', 'esthersrising', 'disabilitytikik', 'publicedreform', 'buildtheboats', 'gloriusunfolding', 'callforuncommoncourage', 'thisisforourboys', 'propublived']",4,blessingsandbackpacks,#duet with @Denise Morrow #988 #greenscreen #988#timeisnow#callforuncommoncourage#believeforit#EsthersRising#dosomething#dyslexiatiktok #dyslexiasquad  #stockdaleparadox #ourturn#thisisforourboys#gloriusunfolding#gentleparenting#emotionalsupport#compassionateparenting#suicideawareness#buildtheboats#lighthouses#Godknows#Setthetable#Icandoallthings#JustinTime#dreamsmall#sisterjoan#publiced #lgbtqiia #lgbtq #thehelp #ourturnfostercare #fostertoadopt #trauma#griefandloss#mourning#grief #griefandlossjourney#traumainformed #traumahealing#kidsoftrauma#nuerodivergent#autistictiktok#nuerodivergenttok  #education#specialeducation#prolifevsprochoice #peopleoverprofits #LRE #parenting#prolife#prochoice#Gracewins#waitandsee#specialneedsmom  #believeforit#PrepareHimRoom#allin #PrepareThemRoom#Gloriousunfolding #ForSuchATimeAsThis#ThyWillBeDone #Benotafraid#AllGloryBeToGod#Burntheships#seesomethingsaysomething#advocate#presumedcompetence#traumatok#poverty#Iamwoman#Propubliceducation#separatechurchandstate#compassionatecare#stockdaleparadox#presumecompetence#libertyandjusticeforall#truthalwaysprevails#SayiWont#traumahealing#noplaceforhate#fostertoadopt#adoptiontrauma#prokids#propublived#fostercarestories  #fostercareawareness#mentalhealthmatters#traumahealing #traumahealingishard  #endthestigma#specialeducation#fostertrauma#IDEA#FAPE#specialneeds#specialed #publiceducationmatters #traumatok  #inclusionchangeslives#socialandemotional##SEL #ADA#504#504🇭🇳 #vets#welfare #fostercareistrauma #traumahealing #poverty#womenandchildren#endtherword#noplaceforhate#speech#speechandlanguage#mentalhealthaction#mentalhealthinschools#invisibledisabilitieswarrior#equalnotless#hope#mentalhealthtiktoks #medicaremedicaid #addictionisamentalhealthproblem #autismawareness #neurodiverse #publiceducation #intellectualdisabilities #welcomehome #publicedreform #SEL#lgbtqia#suicideawareness#behaviormanagement#disabilityawareness#SEL#behavioralhealth#homelessyouth#regan#jfk#trump #InvisibleDisability#disabilitytikik#twiceexceptional #compassionateparenting #atriskyouth#invisibledisabilitiescanbeterminal#suicideprevention#disabilityrightsarecivilrights#civilrightsviolations#leastofthese#mentalhealthmatters#eachofusneedsallofus #westwing#bartletforpresident#southsidearea#GroveCityCollege#Moonarea#montour,136,0,7362744253493267758
US,0,"['christian', 'adhd', 'downsyndrome', 'autismawareness', 'specialneeds', 'dyslexia', 'disability']",76,meredith.laurenn,My worth comes from the one who created me.  #christian #disability #autismawareness #downsyndrome #dyslexia #adhd #specialneeds ,1134,1,7362729859396799786
